Time;X Machine;Z Machine;Z Machine;Block time;
0:20:15;39.662;-11.25;-11.25;0:00:02;
0:20:19;35.812;-11.25;-11.25;0:00:03;
0:20:24;27.011;-11.25;-11.25;0:00:05;
0:20:28;23.161;-11.25;-11.25;0:00:03;
0:20:34;23.161;-11.25;-11.25;0:00:06;
0:20:38;27.011;-11.25;-11.25;0:00:03;
0:20:43;35.812;-11.25;-11.25;0:00:05;
0:20:47;39.662;-11.25;-11.25;0:00:03;
0:20:54;39.662;-11.25;-11.25;0:00:06;
0:20:58;47.162;-11.25;-11.25;0:00:04;
0:21:02;45.077;-11.25;-11.25;0:00:04;
0:21:04;45.077;-11.25;-11.25;0:00:02;
0:21:15;62.81;-11.25;-11.25;0:00:10;
0:21:30;62.81;-11.25;-11.25;0:00:14;
0:21:32;60.685;-11.25;-11.25;0:00:02;
0:22:09;65.785;-11.25;-11.25;0:00:37;
0:22:16;60.685;-11.25;-11.25;0:00:06;
0:22:18;62.81;-11.25;-11.25;0:00:02;
0:22:45;42.162;-11.25;-11.25;0:00:26;
0:23:01;16.098;-11.25;-11.25;0:00:15;
0:23:05;16.098;-11.25;-11.25;0:00:04;
0:23:08;12.348;-11.25;-11.25;0:00:02;
0:23:30;12.348;-11.25;-11.25;0:00:22;
0:23:36;18.498;-11.25;-11.25;0:00:05;
0:24:04;65.41;-11.25;-11.25;0:00:28;
0:24:05;66.56;-11.25;-11.25;0:00:01;
0:24:33;66.56;-11.25;-11.25;0:00:28;
0:24:39;60.41;-11.25;-11.25;0:00:05;
0:25:07;13.498;-11.25;-11.25;0:00:28;
0:25:08;12.348;-11.25;-11.25;0:00:01;
0:25:14;12.348;-11.25;-11.25;0:00:06;
0:25:14;12.348;10.;10.;0:00:00;
0:25:15;23.598;10.;10.;0:00:00;
0:25:15;23.598;-10.25;-10.25;0:00:00;
0:25:15;23.598;-12.5;-12.5;0:00:00;
0:25:17;23.598;-12.5;-12.5;0:00:01;
0:25:19;27.011;-12.5;-12.5;0:00:02;
0:25:22;31.01;-12.5;-12.5;0:00:02;
0:25:23;31.144;-12.5;-12.5;0:00:01;
0:25:28;23.598;-12.5;-12.5;0:00:04;
0:25:30;19.848;-12.5;-12.5;0:00:02;
0:25:36;19.848;-12.5;-12.5;0:00:05;
0:25:40;27.011;-12.5;-12.5;0:00:04;
0:25:45;35.205;-12.5;-12.5;0:00:04;
0:25:52;35.8;-12.5;-12.5;0:00:06;
0:26:01;19.848;-12.5;-12.5;0:00:09;
0:26:03;19.848;-12.5;-12.5;0:00:02;
0:26:06;16.098;-12.5;-12.5;0:00:02;
0:26:28;16.098;-12.5;-12.5;0:00:22;
0:26:30;18.498;-12.5;-12.5;0:00:02;
0:26:46;45.077;-12.5;-12.5;0:00:15;
0:26:48;45.077;-12.5;-12.5;0:00:02;
0:26:52;50.649;-12.5;-12.5;0:00:03;
0:26:54;50.649;-12.5;-12.5;0:00:02;
0:26:57;55.31;-12.5;-12.5;0:00:02;
0:27:01;55.31;-12.5;-12.5;0:00:03;
0:27:03;50.912;-12.5;-12.5;0:00:02;
0:27:06;50.912;-12.5;-12.5;0:00:02;
0:27:07;50.649;-12.5;-12.5;0:00:01;
0:27:10;50.649;-12.5;-12.5;0:00:02;
0:27:15;59.06;-12.5;-12.5;0:00:05;
0:27:23;59.06;-12.5;-12.5;0:00:08;
0:27:31;47.162;-12.5;-12.5;0:00:07;
0:27:36;47.162;-12.5;-12.5;0:00:05;
0:27:38;43.412;-12.5;-12.5;0:00:02;
0:27:45;35.812;-12.5;-12.5;0:00:07;
0:27:51;27.011;-12.5;-12.5;0:00:05;
0:27:58;19.411;-12.5;-12.5;0:00:07;
